Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Acworth,129652709.94,6.83,8.65,2.51,3.2,21.19,2747340923.6286,100103637,9.66,2.6,1.97,15.14,29.37,2921681
Albany,141874959.32999998,3.05,4.15,2.5,1.06,10.76,1526574562.3907998,130141621,2.2,1.08,1.71,7.06,12.05,1546965
Alexandria,274608750.78,5.57,12.7,2.6,1.5,22.37,6142997754.9486,198181477,9.32,1.99,2.2,14.41,27.92,5460145
Allenstown,365673495.33,7.93,16.3,2.34,2.73,29.3,10714233413.169,299434087,9.62,2.76,2.03,14.89,29.3,8652469
Alstead,244908292.58999997,4.91,10.74,2.38,2.91,20.94,5128379646.8345995,193481509,5.51,3.46,1.92,13.53,24.42,4692133
Alton,1979457055.29,3.52,5.57,2.54,1.44,13.07,25871503712.6403,1769435614,4.25,1.27,2.02,6.41,13.95,24335622
Amherst,2138948138.34,4.4,17.17,2.58,1.22,25.37,54265114269.6858,1745846700,5.6,1.2,2.15,19.53,28.48,49267259
Andover,366967731.78,3.54,10.12,2.29,2.39,18.34,6730188200.8452,308949462,4.15,2.47,1.96,12.76,21.34,6661925
Antrim,344825225.54999995,10.93,8.64,2.45,1.12,23.14,7979255719.226999,254807364,10.57,1.13,2.05,14.8,28.55,7175969
Ashland,361739024.01,7.46,9.07,2.19,1.39,20.11,7274571772.8411,250961136,10.39,1.71,1.96,14.37,28.43,7066530
Atkinson,1142312623.9199998,3.14,12.12,2.48,1.06,18.8,21475477329.696,1018252133,3.1,0.98,2.1,12.16,18.34,18439900
Atkinson & Gilmanton Academy Grant,1022845.59,-3.96,-2.29,2.21,4.04,0.0,0.0,774325,-5.12,5.12,1.97,-1.97,0.0,0
Auburn,827027629.7399999,4.08,11.3,2.48,1.08,18.94,15663903307.275599,874971877,3.22,0.91,1.91,12.44,18.48,15960933
Barnstead,634997163.06,5.11,14.3,2.61,1.41,23.43,14877983530.495798,605816952,5.23,1.18,1.86,14.83,23.1,13798833
