Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Acworth,110814282,6.83,8.65,2.51,3.2,21.19,2348154647,100103637,9.66,2.6,1.97,15.14,29.37,2921681
Albany,121260649,3.05,4.15,2.5,1.06,10.76,1304764591,130141621,2.2,1.08,1.71,7.06,12.05,1546965
Alexandria,234708334,5.57,12.7,2.6,1.5,22.37,5250425440,198181477,9.32,1.99,2.2,14.41,27.92,5460145
Allenstown,312541449,7.93,16.3,2.34,2.73,29.3,9157464469,299434087,9.62,2.76,2.03,14.89,29.3,8652469
Alstead,209323327,4.91,10.74,2.38,2.91,20.94,4383230479,193481509,5.51,3.46,1.92,13.53,24.42,4692133
Alton,1691843637,3.52,5.57,2.54,1.44,13.07,22112396342,1769435614,4.25,1.27,2.02,6.41,13.95,24335622
Amherst,1828160802,4.4,17.17,2.58,1.22,25.37,46380439546,1745846700,5.6,1.2,2.15,19.53,28.48,49267259
Andover,313647634,3.54,10.12,2.29,2.39,18.34,5752297610,308949462,4.15,2.47,1.96,12.76,21.34,6661925
Antrim,294722415,10.93,8.64,2.45,1.12,23.14,6819876683,254807364,10.57,1.13,2.05,14.8,28.55,7175969
Ashland,309178653,7.46,9.07,2.19,1.39,20.11,6217582712,250961136,10.39,1.71,1.96,14.37,28.43,7066530
Atkinson,976335576,3.14,12.12,2.48,1.06,18.8,18355108844,1018252133,3.1,0.98,2.1,12.16,18.34,18439900
Atkinson & Gilmanton Academy Grant,874227,-3.96,-2.29,2.21,4.04,0.0,0,774325,-5.12,5.12,1.97,-1.97,0.0,0
Auburn,706861222,4.08,11.3,2.48,1.08,18.94,13387951553,874971877,3.22,0.91,1.91,12.44,18.48,15960933
Barnstead,542732618,5.11,14.3,2.61,1.41,23.43,12716225254,605816952,5.23,1.18,1.86,14.83,23.1,13798833
Barrington,1060279605,4.13,11.93,2.28,2.44,20.78,22032610201,1157694621,3.69,2.48,1.89,14.71,22.77,25996196
Bartlett,1065955680,1.5,5.25,2.63,1.1,10.48,11171215529,1073899013,1.54,1.32,2.14,4.66,9.66,10727392
Bath,149907223,3.35,9.52,2.62,1.43,16.92,2536430220,125216843,4.92,1.86,1.94,14.14,22.86,2813489
Bean's Grant,540,-4.33,0.0,0.0,4.33,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
Bean's Purchase,24160,-3.24,-2.23,1.89,3.58,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
Bedford,3933045684,4.23,12.9,2.32,1.09,20.54,80784758356,4092109157,4.24,1.07,2.0,12.71,20.02,81292539
Belmont,851437498,7.52,10.45,2.35,1.24,21.56,18356992475,734861120,8.34,1.28,2.02,13.7,25.34,18339796
Bennington,132714128,9.92,9.91,2.33,1.04,23.2,3078967779,128652139,10.99,1.02,1.86,15.52,29.39,3731435
Benton,31738809,0.06,11.06,2.37,1.57,15.06,477986477,25642989,-3.92,1.79,2.06,17.97,17.9,455732
Berlin,510383881,17.22,8.5,2.2,3.78,31.7,16179169053,478007523,19.02,4.63,1.92,10.36,35.93,16819600
Bethlehem,269800400,8.9,16.61,2.64,1.72,29.87,8058937966,277502024,7.15,1.77,1.9,14.38,25.2,6972306
Boscawen,324030878,6.35,10.14,2.14,2.42,21.05,6820849997,294189355,8.25,2.55,1.88,14.11,26.79,7780326
Bow,1218997022,5.88,15.46,2.7,3.11,27.15,33095769160,1272627173,7.11,2.54,1.89,14.04,25.58,32132445
Bradford,255852023,7.27,10.38,2.51,2.74,22.9,5859011333,249477480,8.9,2.49,1.67,10.8,23.86,5899803
Brentwood,563542568,3.16,16.52,2.33,1.0,23.01,12967114502,708407990,3.88,0.83,1.83,16.65,23.19,16262210
Bridgewater,390351877,2.87,2.9,2.53,1.55,9.85,3844965989,449193300,3.0,1.57,1.84,1.97,8.38,3825881
Bristol,549332045,6.88,9.36,2.38,1.55,20.17,11080027362,557750184,8.1,1.7,1.87,9.02,20.69,11388075
Brookfield,121565336,3.89,8.38,2.47,0.99,15.73,1912222742,126812883,5.3,1.08,1.93,8.87,17.18,2157360
Brookline,687275496,4.06,16.99,2.09,0.94,24.08,16549593948,670989733,5.77,1.06,1.87,19.1,27.8,18509861
Cambridge,9732963,-4.41,-2.34,2.36,4.39,0.0,0,9219051,-4.98,4.94,1.93,-1.89,0.0,-328
Campton,474670378,5.03,10.15,2.31,1.5,18.99,9013990483,439337540,5.86,1.66,2.0,14.75,24.27,11703154
Canaan,375866157,6.26,12.84,2.59,1.65,23.34,8772716114,347549588,7.51,1.96,2.02,22.91,34.4,11898029
Candia,473553393,4.66,11.29,2.49,0.94,19.38,9177464762,511799514,4.45,0.88,1.99,12.72,20.04,10169846
Canterbury,283493417,6.76,12.85,2.65,3.07,25.33,7180888258,263889938,8.07,3.01,2.21,14.3,27.59,7197828
Carroll,466608292,2.8,4.77,2.08,3.9,13.55,6322542356,337211396,6.02,5.0,2.14,8.09,21.25,7127948
Center Harbor,554167786,3.89,3.64,2.23,1.2,10.96,6073678942,437782421,5.94,1.33,2.13,5.93,15.33,6661552
Chandler's Purchase,57507,-4.48,-2.24,2.33,4.39,0.0,0,44150,-5.03,4.71,1.97,-1.65,0.0,-14
Charlestown,316294286,6.69,15.25,2.47,3.12,27.53,8707581707,280396567,10.71,3.05,2.14,22.75,38.65,10653235
Chatham,60408588,-0.31,9.89,2.55,1.07,13.2,797393364,60624358,0.97,1.14,1.79,9.52,13.42,794177
Chester,532165256,5.77,15.02,2.78,1.09,24.66,13123195237,724599790,7.02,0.89,1.9,10.72,20.53,14547419
Chesterfield,656939338,3.42,8.39,2.22,3.3,17.33,11384758734,525382807,5.13,4.15,1.96,11.37,22.61,12345531
Chichester,346419602,3.65,11.22,2.1,2.33,19.3,6685898320,322781804,5.56,2.63,1.91,13.08,23.18,7399658
Claremont,911643459,12.36,15.46,2.45,2.91,33.18,30248329985,750284384,15.17,2.7,1.92,20.93,40.72,30169489
Clarksville,47788640,-5.21,7.44,2.29,4.73,9.25,442044925,46860972,3.64,5.05,2.09,5.48,16.26,751306
Colebrook,222367055,6.93,8.7,2.11,3.96,21.7,4825365094,186958181,11.6,4.48,1.79,9.91,27.78,5298482
Columbia,99687658,1.78,8.22,2.57,3.97,16.54,1648833873,92049091,2.28,5.15,1.95,6.69,16.07,1419244
Concord,4313794119,8.72,10.39,2.59,2.9,24.6,106119335341,4632801359,9.32,2.44,1.87,13.13,26.76,124727581
