Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Alstead,209323327.0,4.91,10.74,2.38,2.91,20.94,4383230479.0,193481509.0,5.51,3.46,1.92,13.53,24.42,4692133.0
Antrim,294722415.0,10.93,8.64,2.45,1.12,23.14,6819876683.0,254807364.0,10.57,1.13,2.05,14.8,28.55,7175969.0
Bennington,132714128.0,9.92,9.91,2.33,1.04,23.2,3078967779.0,128652139.0,10.99,1.02,1.86,15.52,29.39,3731435.0
Chesterfield,656939338.0,3.42,8.39,2.22,3.3,17.33,11384758734.0,525382807.0,5.13,4.15,1.96,11.37,22.61,12345531.0
Dublin,300254701.0,5.71,11.23,2.32,3.28,22.54,6767740971.0,273686586.0,5.81,3.5,1.92,13.4,24.63,6665686.0
Fitzwilliam,359035092.0,4.69,15.0,2.04,2.86,24.59,8828672912.0,298406160.0,4.96,3.7,1.96,15.14,25.76,7493042.0
Gilsum,76127063.0,5.72,14.56,2.43,3.24,25.95,1975497290.0,71965174.0,6.84,3.46,1.85,13.6,25.75,1844162.0
Greenfield,184784154.0,6.38,11.19,2.26,1.09,20.92,3865684517.0,170277305.0,8.5,1.06,1.96,15.63,27.15,4596602.0
Greenville,159511535.0,11.3,6.18,2.23,0.88,20.59,3284342522.0,120335069.0,12.52,1.0,1.93,7.72,23.17,2705821.0
Hancock,282873270.0,5.26,11.38,2.45,1.16,20.25,5728183726.0,250769628.0,7.6,1.14,2.01,15.47,26.22,6515772.0
Harrisville,247782552.0,3.96,4.99,2.34,3.31,14.6,3617625259.0,207756836.0,5.08,3.78,1.92,6.9,17.68,3662148.0
Hinsdale,432880215.0,8.83,12.09,2.17,2.91,26.0,11254885597.0,345539419.0,8.15,4.17,2.11,19.72,34.15,11482952.0
Jaffrey,528689088.0,8.32,13.33,2.42,3.3,27.37,14470220358.0,520726640.0,9.54,3.69,2.05,12.25,27.53,14164921.0
Keene,2177293950.0,11.78,13.32,2.37,3.35,30.82,67104199539.0,1849704064.0,14.81,3.86,2.07,16.54,37.28,68437022.0
Langdon,70362173.0,6.66,12.95,2.43,2.95,24.99,1758350720.0,58110552.0,5.82,2.72,2.02,16.38,26.94,1541590.0
Marlborough,213698241.0,3.9,15.61,2.5,3.42,25.43,5434346291.0,176275527.0,5.3,4.24,2.1,19.83,31.47,5488550.0
Marlow,75456788.0,6.45,12.87,2.47,3.31,25.1,1893965402.0,73886807.0,6.51,3.61,1.74,17.85,29.71,2175581.0
Nelson,137250773.0,5.1,9.63,2.42,3.4,20.55,2820503385.0,125807368.0,6.39,3.69,1.98,6.81,18.87,2362641.0
New Ipswich,486659284.0,3.55,13.38,2.33,1.0,20.26,9859717094.0,483823011.0,4.7,1.02,1.78,13.75,21.25,10025523.0
Peterborough,703453867.0,8.16,14.83,3.03,1.32,27.34,19232428744.0,708717016.0,9.92,1.14,2.04,17.74,30.84,21618215.0
Richmond,122419615.0,4.1,13.42,2.29,3.19,23.0,2815651156.0,107429939.0,5.7,3.65,1.96,12.4,23.71,2511845.0
Rindge,640037525.0,4.43,15.08,2.48,3.33,25.32,16205750143.0,688860863.0,3.88,3.64,1.85,13.08,22.45,15223839.0
Roxbury,30186593.0,0.21,17.15,2.61,3.58,23.55,710894269.0,24835114.0,2.57,3.9,2.16,16.74,25.37,626082.0
Sharon,63706772.0,5.28,9.8,2.5,1.03,18.61,1185583038.0,57477691.0,5.09,0.95,1.76,14.8,22.6,1292100.0
Stoddard,330528240.0,2.42,6.43,2.29,3.24,14.38,4752996104.0,294311810.0,3.14,3.7,1.85,7.72,16.41,4832874.0
Sullivan,65393159.0,8.85,12.23,2.49,3.26,26.83,1754498459.0,63293201.0,5.82,3.61,1.75,15.08,26.26,1645596.0
Surry,97581244.0,1.75,9.36,2.4,3.44,16.95,1654002092.0,84913883.0,2.05,3.82,1.99,20.56,28.42,2384451.0
Swanzey,684087776.0,4.95,14.75,2.31,3.28,25.29,17300579859.0,628440073.0,6.22,3.67,1.92,13.87,25.68,15908532.0
Temple,179514947.0,5.18,13.36,2.3,1.1,21.94,3938557946.0,163177452.0,5.25,1.01,1.81,16.09,24.16,3928996.0
Troy,150129944.0,7.5,15.18,2.49,3.13,28.3,4248677433.0,130653578.0,10.34,4.08,1.93,11.91,28.26,3615179.0
Walpole,521505645.0,4.03,9.59,2.32,3.03,18.97,9892962096.0,436364198.0,5.13,3.67,1.9,14.96,25.66,11758680.0
Westmoreland,203986472.0,3.26,11.13,2.62,3.46,20.47,4175603082.0,166370954.0,3.87,4.03,2.0,15.5,25.4,4205692.0
Winchester,330630545.0,7.18,17.5,2.11,3.24,30.03,9928835287.0,333847858.0,7.09,3.15,1.68,16.85,28.77,9436256.0
Windsor,26781515.0,0.91,8.81,3.57,1.19,14.48,387796341.0,28777018.0,0.42,0.94,2.03,6.42,9.81,276423.0
NH,183766121620.0,6.199296327556244,9.995923953427667,2.4204985174982876,1.6066518787218993,20.222370677204097,3716186631394.0,191727177172.0,6.4009298832204164,1.5776259709103124,1.9811754337109333,11.213627074020685,21.173358361862345,4032124271.0
